Fecha;Cierre;Referencia;Volumen;Efectivo;Último;Máximo;Mínimo;Medio
01/07/2021;22.48;22.84;646534.00;14573272.56;22.48;22.96;22.37;22.54
02/07/2021;22.34;22.48;813662.00;18218652.12;22.34;22.63;22.25;22.39
05/07/2021;22.14;22.34;379613.00;8407064.03;22.14;22.45;22.03;22.15
06/07/2021;22.40;22.14;575182.00;12834285.15;22.40;22.47;22.01;22.31
07/07/2021;22.20;22.40;532489.00;11816211.38;22.20;22.40;22.07;22.19
08/07/2021;21.83;22.20;868984.00;19010027.37;21.83;22.19;21.76;21.88
09/07/2021;21.68;21.83;441880.00;9586386.71;21.68;22.03;21.53;21.69
12/07/2021;21.51;21.68;886158.00;19123339.38;21.51;21.80;21.51;21.58
13/07/2021;20.94;21.51;1008884.00;21154465.09;20.94;21.53;20.75;20.97
14/07/2021;20.71;20.94;698408.00;14495888.61;20.71;21.05;20.56;20.76
15/07/2021;20.61;20.71;442662.00;9156155.05;20.61;20.96;20.49;20.68
16/07/2021;20.70;20.61;528843.00;10933710.58;20.70;20.79;20.51;20.67
19/07/2021;20.67;20.70;560124.00;11536157.06;20.67;20.81;20.41;20.60
20/07/2021;20.57;20.67;1091103.00;22399619.23;20.57;20.72;20.38;20.53
21/07/2021;20.68;20.57;578716.00;11951676.29;20.68;20.81;20.47;20.65
22/07/2021;20.88;20.68;584636.00;12183942.67;20.88;20.95;20.44;20.84
23/07/2021;20.80;20.88;572077.00;11947045.16;20.80;21.11;20.77;20.90
26/07/2021;20.72;20.80;427789.00;8864717.84;20.72;20.89;20.61;20.72
27/07/2021;20.57;20.72;748254.00;15373627.65;20.57;20.71;20.39;20.55
28/07/2021;20.85;20.57;723569.00;15072842.51;20.85;20.97;20.55;20.83
29/07/2021;21.44;20.85;1086086.00;23224262.96;21.44;21.68;21.04;21.40
30/07/2021;21.44;21.44;768115.00;16447807.50;21.44;21.72;21.19;21.41
02/08/2021;21.44;21.44;686358.00;14695950.81;21.44;21.68;21.16;21.41
03/08/2021;21.12;21.44;582622.00;12360351.61;21.12;21.56;21.01;21.22
04/08/2021;21.18;21.12;690051.00;14655078.34;21.18;21.45;21.01;21.22
05/08/2021;21.04;21.18;566565.00;11919524.04;21.04;21.30;20.92;21.04
06/08/2021;20.73;21.04;580040.00;12057968.75;20.73;21.11;20.73;20.79
09/08/2021;20.99;20.73;524408.00;10976294.36;20.99;21.04;20.74;20.94
10/08/2021;20.87;20.99;372170.00;7785884.70;20.87;21.14;20.84;20.92
11/08/2021;20.57;20.87;733829.00;15146564.14;20.57;20.98;20.57;20.64
12/08/2021;20.78;20.57;547898.00;11371411.78;20.78;20.84;20.57;20.75
13/08/2021;20.59;20.78;423052.00;8720043.15;20.59;20.80;20.50;20.61
16/08/2021;20.38;20.59;620470.00;12657625.09;20.38;20.66;20.27;20.40
17/08/2021;20.36;20.38;682809.00;13872996.12;20.36;20.45;20.07;20.32
18/08/2021;20.51;20.36;529468.00;10846983.09;20.51;20.62;20.31;20.49
19/08/2021;21.38;20.51;912554.00;19309788.99;21.38;21.48;20.38;21.16
20/08/2021;21.35;21.38;696723.00;14896470.34;21.35;21.49;21.11;21.37
23/08/2021;20.96;21.35;347664.00;7315643.15;20.96;21.46;20.88;21.04
24/08/2021;20.85;20.96;341044.00;7131204.43;20.85;21.14;20.85;20.91
25/08/2021;20.66;20.85;1000258.00;20784781.22;20.66;21.04;20.61;20.78
26/08/2021;20.32;20.66;442773.00;9042997.87;20.32;20.73;20.28;20.42
27/08/2021;20.55;20.32;522587.00;10697760.09;20.55;20.55;20.26;20.47
30/08/2021;20.67;20.55;403773.00;8335952.21;20.67;20.77;20.40;20.65
31/08/2021;20.69;20.67;794317.00;16450821.96;20.69;20.87;20.48;20.71
01/09/2021;20.90;20.69;590321.00;12368244.45;20.90;21.16;20.77;20.95
02/09/2021;21.03;20.90;980998.00;20635514.28;21.03;21.32;20.89;21.09
03/09/2021;20.92;21.03;612726.00;12829969.15;20.92;21.15;20.81;20.94
06/09/2021;21.07;20.92;271509.00;5708312.50;21.07;21.07;20.89;21.02
07/09/2021;20.85;21.07;750986.00;15657159.11;20.85;21.10;20.72;20.85
08/09/2021;20.86;20.85;802768.00;16713452.77;20.86;20.94;20.51;20.82
09/09/2021;20.55;20.86;676774.00;13983676.47;20.55;20.99;20.55;20.66
10/09/2021;20.48;20.55;651953.00;13387449.16;20.48;20.77;20.41;20.53
13/09/2021;20.89;20.48;650362.00;13583245.78;20.89;21.03;20.53;20.89
14/09/2021;21.17;20.89;1196840.00;25154213.81;21.17;21.36;20.78;21.17
15/09/2021;20.97;21.17;847613.00;17934428.27;20.97;21.47;20.92;21.15
16/09/2021;20.63;20.97;1120512.00;23314846.27;20.63;21.08;20.63;20.72
17/09/2021;21.82;20.63;3099072.00;65846538.49;21.82;22.07;19.54;21.25
20/09/2021;22.20;21.82;1524929.00;33568945.04;22.20;22.20;21.55;22.03
21/09/2021;22.29;22.20;993933.00;22025284.82;22.29;22.47;22.01;22.25
22/09/2021;22.04;22.29;792795.00;17497127.84;22.04;22.48;21.76;22.07
23/09/2021;22.23;22.04;942971.00;21010814.92;22.23;22.47;22.09;22.28
24/09/2021;21.97;22.23;568114.00;12489328.50;21.97;22.35;21.84;21.98
27/09/2021;22.34;21.97;681287.00;15186532.56;22.34;22.48;21.90;22.29
28/09/2021;22.03;22.34;1178427.00;26257680.80;22.03;22.64;22.02;22.28
29/09/2021;21.72;22.03;609786.00;13232985.26;21.72;22.02;21.48;21.70
30/09/2021;21.08;21.72;1390123.00;29304014.78;21.08;21.81;20.67;21.08
